category,primary_skills,years_experience,experience_level,role,experience_score,layoff_risk,ai_impact_score,automation_risk,market_demand,skill_adaptability
devops,"CI/CD, Terraform, Docker",4.8,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Azure, CI/CD",0.7,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"Azure, AWS, Terraform",0.6,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"AWS, Terraform, Kubernetes",0.7,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, CI/CD, Terraform",0.9,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"Azure, Docker, AWS",13.5,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Azure, CI/CD",6.1,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"CI/CD, AWS, Kubernetes",1,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"CI/CD, AWS, Terraform",3.9,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Azure, CI/CD",4.9,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Azure, CI/CD, Docker",4.3,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"CI/CD, Kubernetes, Azure",5.4,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Terraform, AWS",3.9,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Azure, CI/CD, Docker",5.8,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Terraform, CI/CD, Docker",3.1,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, AWS, Docker",9.8,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Terraform, AWS, Docker",5.2,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, CI/CD, Terraform",2.4,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Terraform, Azure, CI/CD",2.4,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Docker, Kubernetes, CI/CD",3.2,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Terraform, AWS",2.3,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Azure, AWS",6.2,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, Terraform, Kubernetes",6,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Azure, Kubernetes, CI/CD",7.5,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Terraform, Azure, Kubernetes",5,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Azure, Docker, Kubernetes",8.8,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Terraform, CI/CD, AWS",6.7,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"CI/CD, Terraform, Kubernetes",2.3,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, AWS, Docker",6.2,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"CI/CD, Docker, AWS",6.5,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, Kubernetes, Azure",8.1,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"AWS, CI/CD, Terraform",2.5,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Docker, CI/CD",2.9,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Docker, CI/CD",3.6,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"AWS, CI/CD, Kubernetes",8.8,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, CI/CD, AWS",12,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, Kubernetes, Terraform",6.4,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Terraform, CI/CD, Azure",8.4,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, AWS, Terraform",2.9,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Docker, Terraform, CI/CD",2.6,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"CI/CD, Terraform, Azure",3.4,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Azure, AWS, Terraform",3.4,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Docker, AWS",6.3,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"AWS, Azure, Kubernetes",4.2,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
software development,"node, express, mongodb",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"node, nestjs, mysql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"java, springboot, mysql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"springboot, kafka, oracle",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"django, postgresql, api",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"flask, mysql, api",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"fastapi, redis, api",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"laravel, mysql, api",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"php, symfony, mysql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"dotnet, aspnet, sqlserver",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"golang, microservices, mongodb",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"nestjs, graphql, postgres",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"express, jwt authentication",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"spring, rest api, mysql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"django, celery, redis",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"node, graphql, redis",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"java, microservices, kafka",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"fastapi, postgresql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"mysql, stored procedures",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"postgresql, tuning",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"mongodb, aggregation",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"springboot, hibernate",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"flask, sqlalchemy",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"node, redis, api",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"django, api, mysql",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"laravel, redis",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
software development,"aspnet, core, webapi",3,mid,Backend Developer,2,50,0.5,0.55,0.75,0.8
blockchain,"Ethereum, Smart Contracts, Solidity",5.1,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Ethereum, Web3",2.5,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Ethereum, DeFi",6.5,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Solidity, Smart Contracts",10.9,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, DeFi, Ethereum",7.4,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Solidity, Ethereum",8.5,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Solidity, DeFi",7.8,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Solidity, Ethereum",4.4,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Smart Contracts, Solidity",9.2,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Web3, Solidity",4.8,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Solidity, Ethereum",4.4,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Ethereum, Web3",1.7,junior,Blockchain Developer,1,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Ethereum, Smart Contracts",3.8,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Solidity, Ethereum",7.2,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Ethereum, Smart Contracts",2.9,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Smart Contracts, Web3",3.2,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Web3, Solidity",8.8,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Web3, Smart Contracts",7.1,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Smart Contracts, DeFi",7,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Web3, Solidity",10.4,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Solidity, DeFi",4.9,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Ethereum, Smart Contracts",6.4,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Web3, DeFi, Smart Contracts",10,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Web3, Smart Contracts",4.5,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Smart Contracts, Web3",9.4,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Smart Contracts, Web3",10.6,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Solidity, DeFi",10.9,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Smart Contracts, DeFi",3.1,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Smart Contracts, Web3",9.5,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Solidity, Web3",12.3,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Web3, Smart Contracts",3.5,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, Web3, Ethereum",6.7,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, DeFi, Solidity",4.8,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Ethereum, Web3",1.9,junior,Blockchain Developer,1,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Ethereum, Smart Contracts",3.4,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Solidity, Web3",7.3,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Smart Contracts, Web3",6.2,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Smart Contracts, Ethereum",2.3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, Smart Contracts, DeFi",4.5,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Solidity, DeFi, Ethereum",1.3,junior,Blockchain Developer,1,60,0.6,0.6,0.6,0.6
blockchain,"Smart Contracts, DeFi, Ethereum",4.7,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Web3, DeFi, Ethereum",8.4,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Solidity, DeFi",3.2,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"DeFi, Web3, Ethereum",3.6,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Web3, Smart Contracts, Solidity",4.3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain,"Ethereum, Solidity, Smart Contracts",10.8,senior,Blockchain Developer,3,60,0.6,0.6,0.6,0.6
blockchain development,"solidity, ethereum, smart contract",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"web3, solidity, defi",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"ethereum, blockchain, crypto",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"smart contract, polygon, web3",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"solidity, nft, ethereum",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"web3, metamask, solidity",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"crypto, blockchain, defi",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"ethereum, truffle, smart contract",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"web3, solidity, polygon",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"blockchain, crypto wallet",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"solidity, hardhat, ethereum",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"smart contract, web3",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"ethereum, nft, solidity",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"defi, blockchain",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
blockchain development,"crypto, web3, ethereum",3,mid,Blockchain Developer,2,60,0.6,0.6,0.6,0.6
